TDS,E.C,Na,Cl,T.H,HCO3,Mg,SAR,NO3,Ca,Classification
1130.88,1767,247.0493225,350,339.9259868,328.1154673,43.758,5.825908343,9.96525,64.0,Poor
865.28,1352,143.7238086,200,359.9588816,285.3571038,24.31,3.293627153,58.9057,104.0,Poor
311.68,487,37.38850751,80,159.9753289,106.4166034,14.586,1.285238679,2.546675,40.0,Moderate
499.84,781,77.82966687,90,219.9671053,149.7509705,19.448,2.281594524,60.89875,56.0,Poor
1452.8,2270,239.8172365,510,619.8930921,349.8810551,63.206,4.187879333,12.22404,144.0,Bad
517.76,809,37.40802198,20,319.9342105,313.920877,38.896,0.909298695,46.5045,64.0,Poor
1292.8,2020,374.3006246,330,159.9835526,397.0572093,9.724,12.86634071,117.58995,48.0,Poor
1097.6,1715,109.7419942,260,619.9095395,280.5587825,53.482,1.916376568,217.9068,160.0,Poor
442.24,691,104.575608,40,119.9671053,227.0898493,19.448,4.151179114,3.63178,16.0,Moderate
1523.2,2380,284.1420921,430,579.8519737,476.0389755,87.516,5.130375677,96.77365,88.0,Bad
838.4,1310,87.13108243,220,459.9095395,308.0032189,53.482,1.766481381,9.07945,96.0,Poor
3104.0,4850,366.6563255,950,1399.613487,582.3434453,228.514,4.261154552,420.755,184.0,Bad
1446.4,2260,71.86106115,440,979.7861842,155.1278664,126.412,0.998159936,376.465,184.0,Bad
798.72,1248,58.30705248,270,499.9177632,154.4600544,48.62,1.133819619,83.04375,120.0,Poor
588.8,920,101.9702086,140,239.9588816,192.7563774,24.31,2.862048949,2.87885,56.0,Poor
562.56,879,83.4421257,20,259.9671053,388.6899247,19.448,2.250081889,14.83715,72.0,Poor
748.8,1170,150.7620236,60,259.9095395,362.6428692,53.482,4.06586554,29.2314,16.0,Poor
1090.56,1704,180.0455177,350,459.9095395,167.347134,53.482,3.650213517,192.88295,96.0,Poor
1021.44,1596,111.6911638,190,559.8355263,373.5708319,97.24,2.052394078,144.16395,64.0,Poor
1201.92,1878,215.3232932,240,479.8355263,536.4386198,97.24,4.273827386,42.0755,32.0,Poor
612.48,957,100.1396797,120,259.9506579,241.1174051,29.172,2.70042986,55.3625,56.0,Poor
2240.0,3500,422.9361745,720,839.7615132,415.1882403,140.998,6.345546243,310.03,104.0,Bad
412.8,645,53.0,50,239.9342105,210.0,38.896,1.48765404,32.21090909,32.0,Moderate
418.56,654,61.0,40,239.9342105,210.0,38.896,1.712205593,46.10186364,32.0,Moderate
377.6,590,59.0,40,199.9424342,200.0,34.034,1.814143713,44.29,24.0,Moderate
587.52,918,87.0,90,299.9095395,230.0,53.482,2.184219483,27.17795455,32.0,Poor
354.56,554,63.0,60,179.9506579,130.0,29.172,2.04190717,34.42540909,24.0,Moderate
282.24,441,57.0,70,119.9753289,80.0,14.586,2.262564897,27.58059091,24.0,Moderate
285.44,446,41.0,20,139.9588816,180.0,24.31,1.506800616,7.650090909,16.0,Moderate
396.8,620,69.0,70,219.9424342,160.0,34.034,2.022864259,43.88736364,32.0,Moderate
218.88,342,43.0,30,99.97532895,90.0,14.586,1.869795881,2.617136364,16.0,Moderate
349.44,546,60.0,40,179.9506579,180.0,29.172,1.944673495,32.41222727,24.0,Moderate
700.8,1095,148.0,170,359.8930921,180.0,63.206,3.391931898,182.7969091,40.0,Poor
833.28,1302,79.85293591,140,479.9013158,255.417806,58.344,1.58484605,209.27025,96.0,Poor
1555.2,2430,147.4961885,470,899.7286184,452.601682,160.446,2.137948277,78.8362,96.0,Bad
1187.84,1856,171.5126738,250,559.9506579,403.8887012,29.172,3.151327228,162.5443,176.0,Poor
750.72,1173,87.66690542,230,399.9177632,228.6890146,48.62,1.905998231,8.437245,80.0,Poor
375.68,587,34.05380163,40,219.9753289,211.199135,14.586,0.99827634,12.97697,64.0,Moderate
1105.92,1728,95.43079899,300,659.9259868,207.1695842,43.758,1.615150918,240.4947,192.0,Poor
415.36,649,38.98749683,70,239.9588816,178.8319982,24.31,1.094281613,37.42505,56.0,Moderate
1137.92,1778,121.9907584,300,579.9177632,325.8779176,48.62,2.202499859,122.6833,152.0,Poor
1228.16,1919,215.73876,260,499.8930921,412.4614016,63.206,4.195287948,38.75375,96.0,Poor
898.56,1404,76.33240433,260,539.9342105,157.1197349,38.896,1.428271214,189.1183,152.0,Poor
963.84,1506,107.1757466,180,519.9177632,318.5676553,48.62,2.043625691,186.23945,128.0,Poor
743.04,1161,84.98350433,140,399.9342105,256.247806,38.896,1.847619434,125.56215,96.0,Poor
867.84,1356,111.5437787,180,439.8766447,336.8176553,72.93,2.312341986,79.2791,56.0,Poor
644.48,1007,104.2529963,160,279.9671053,207.1741592,19.448,2.708988779,56.91265,80.0,Poor
944.0,1475,157.598808,280,399.9671053,286.1175167,19.448,3.426201927,10.6296,128.0,Poor
856.96,1339,70.41989156,150,519.8601974,381.4181255,82.654,1.342839885,65.9921,72.0,Poor
1137.92,1778,121.9907584,300,579.9177632,325.8779176,48.62,2.202499859,122.6833,152.0,Poor
799.36,1249,67.8796969,200,479.8684211,307.1994847,77.792,1.347258626,17.93745,64.0,Poor
751.36,1174,104.6739926,90,359.9342105,398.9585896,38.896,2.398829551,41.41115,80.0,Poor
811.52,1268,80.5001113,170,459.9177632,282.2985263,48.62,1.632031561,105.18875,104.0,Poor
991.36,1549,109.548683,320,539.9013158,251.4352232,58.344,2.049850234,56.2483,120.0,Poor
520.32,813,59.43722198,30,279.9342105,341.360006,38.896,1.544552514,14.239235,48.0,Poor
759.04,1186,154.8754567,90,259.9424342,411.6723991,34.034,4.176535463,34.302605,48.0,Poor
993.28,1552,209.0,270,299.9177632,200.0,48.62,5.247076015,31.003,40.0,Poor
488.32,763,84.0,120,199.9506579,130.0,29.172,2.582795561,17.11204545,32.0,Poor
1087.36,1699,136.0,190,279.9259868,120.0,43.758,3.534186498,1.811863636,40.0,Poor
800.0,1250,182.0,230,219.9588816,130.0,24.31,5.335471453,89.18395455,48.0,Poor
774.4,1210,145.0,180,239.9506579,150.0,29.172,4.06985741,110.9263182,48.0,Poor
371.2,580,14.1310685,10,259.9424342,178.9222242,34.034,0.381073347,33.2175,48.0,Moderate
1198.08,1872,121.5265423,270,679.8930921,320.7805306,63.206,2.026389802,239.166,168.0,Poor
576.0,900,32.06496904,80,379.9342105,187.5182701,38.896,0.71523505,40.52535,88.0,Poor
296.32,463,41.8859952,70,139.9835526,54.79771251,9.724,1.539226377,2.6574,40.0,Moderate
611.2,955,82.63768615,50,299.9424342,362.193264,34.034,2.074585588,35.432,64.0,Bad
1196.8,1870,101.4417798,380,719.8601974,148.31714,82.654,1.643860438,272.3835,152.0,Poor
1504.0,2350,257.8130012,530,619.8930921,190.4826464,63.206,4.50213569,205.9485,144.0,Bad
807.68,1262,98.64370488,180,419.9259868,312.8174172,43.758,2.092932218,42.29695,96.0,Poor
723.2,1130,76.98178831,150,399.9095395,262.8738397,53.482,1.673706403,88.58,72.0,Poor
1243.52,1943,257.3996798,340,419.8601974,324.8120526,82.654,5.461699647,101.867,32.0,Poor
620.8,970,94.31462036,60,279.9588816,254.8333454,24.31,2.45077849,59.7915,72.0,Poor
757.76,1184,51.88061293,110,479.8930921,315.3506571,63.206,1.029686486,108.5105,88.0,Poor
